,org_id,city,average_bill,rating,rubric,coffee_to_go,food_delivery,breakfast,summer_terrace,wi_fi,business_lunch,payment_by_credit_card,car_park,gift_certificate,karaoke,free_delivery,music,pets,air_conditioning,view_on_ostankino_tower
9087,11194237697749792221,spb,,5.0,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9088,11448473285669058637,spb,,4.0,Столовая,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9089,16469414241358538597,spb,,,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9090,6601376408614692483,spb,,4.333333333333333,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9091,13837994030873588219,spb,,4.090909090909091,Кальян-бар,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9092,13471886246949695138,spb,,4.384615384615385,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9093,4617739413377757525,spb,,5.0,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9094,11389850005625661179,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9095,5336259820855199175,spb,,5.0,Кофейня,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9096,1245571860663947669,spb,,,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9097,2106454704383399039,spb,,5.0,Кофейня,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9098,15691452118713635845,spb,,5.0,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9099,17387234294202807673,spb,,3.0,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9100,643420674161880739,spb,,,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9101,2616525012532045460,spb,,4.222222222222221,Кофейня,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9102,12397387895020685640,spb,,4.916666666666667,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9103,13674556430214790941,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9104,3297722711304651995,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9105,12369910305689472775,spb,,,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9106,7300312591280632799,spb,,5.0,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9107,11242037486407165156,spb,,,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9108,2833455071673721784,spb,,4.4,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9109,10619755522974793002,spb,,3.5454545454545454,Столовая,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9110,7933836298232428153,spb,,4.0,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9111,9406989284805967669,spb,,4.75,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9112,6749163317790673924,spb,,5.0,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9113,1907574033697906360,spb,,4.75,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9114,7708900571989330740,spb,,5.0,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9115,7439045938298659047,spb,,5.0,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9116,3381618119998790725,spb,,4.114285714285714,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9117,13404874250160282035,spb,,4.0,Кофейня,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9118,10668018127899870588,spb,,5.0,Кальян-бар,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9119,3660003721629209496,spb,,,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9120,1866887753425088971,spb,,,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9121,7932852003137292368,spb,,,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9122,16120769229902980892,spb,,,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9123,12778008885829009668,spb,,3.954545454545455,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9124,1497477607710376548,spb,,3.0,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9125,2660768819764546137,spb,,3.0,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9126,5560904852895185113,spb,,5.0,Пиццерия,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9127,7659133311418761316,spb,,3.571428571428572,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9128,16442435619906316336,spb,,2.333333333333333,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9129,9935240003616578042,spb,,,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9130,7751503202692271070,spb,,3.0,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9131,135633941522045849,spb,,,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9132,1339342086613780424,spb,,3.5,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9133,11529311346973594004,spb,,,Кофейня,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9134,13491238091838327035,spb,,3.0,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9135,5912267267634666479,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9136,15067247915955422452,spb,,5.0,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9137,6330862115855295054,spb,,,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9138,16608624880452013569,spb,,4.75,Столовая,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9139,1692284692844485315,spb,,4.666666666666667,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9140,11101848149547812303,spb,,4.076923076923077,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9141,3790955194594893693,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9142,11519950464442701101,spb,,5.0,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9143,9902276527397123483,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9144,2213703831044704769,spb,,4.5,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9145,3158567344465391059,spb,,2.4545454545454546,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9146,7889496066735556293,spb,,5.0,Кофейня,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9147,2923529047526126453,spb,,4.090909090909091,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9148,4719597442459183560,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9149,1297731152379650857,spb,,,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9150,16797481313128190320,spb,,4.266666666666667,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9151,11705461711128427396,spb,,3.0,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9152,15517346359838210300,spb,,,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9153,5361629035175260228,spb,,3.6666666666666665,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9154,10123544928121654743,spb,,4.666666666666667,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9155,1396150653090930587,spb,,5.0,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9156,7732341671948790243,spb,,4.666666666666667,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9157,11503670368085828417,spb,,,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9158,2145914372849180727,spb,,3.0,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9159,8848812492561921821,spb,,,Пиццерия,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9160,11526933913755595388,spb,,4.0,Кофейня,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9161,17189506974671563714,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9162,11234789235734023609,spb,,,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9163,13069252605640140454,spb,,4.0,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9164,839665231612332188,spb,,,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9165,6404135535243974138,spb,,4.217391304347826,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9166,7924540704741109127,spb,,5.0,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9167,10471189809279697669,spb,,,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9168,13941196205070337329,spb,,,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9169,10155895315535909559,spb,,3.555555555555556,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9170,14246490669909326449,spb,,5.0,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9171,5514162414032302224,spb,,,Столовая,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9172,9289586654953636641,spb,,,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9173,12499540837914324344,spb,,3.1666666666666665,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9174,4965524527736542800,spb,,3.0,Кальян-бар,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9175,9194685425495817111,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9176,12627883576381845704,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9177,181345094037710006,spb,,5.0,Кальян-бар,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9178,3987922111616659810,spb,,,Столовая,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9179,535205466198556060,spb,,,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9180,7466482631342156734,spb,,4.2,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9181,12648321951161374018,spb,,5.0,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9182,702310945850178871,spb,,3.6666666666666665,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9183,8362015193079272648,spb,,5.0,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9184,7679704505793183450,spb,,4.666666666666667,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,17403498960556898061,spb,,,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9186,6311093130526172064,spb,,,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9187,16462483313584228811,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9188,9002322041355803237,spb,,,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9189,9327875684916120526,spb,,3.4347826086956523,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9190,2626440023038536207,spb,,3.5,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9191,1453435118946020670,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9192,17214051813847426792,spb,,1.0,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9193,6600087832373024777,spb,,,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9194,10943356212855509690,spb,,4.0,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9195,11382400728924517680,spb,,5.0,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9196,9856745249162502316,spb,,,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9197,17426987809497559179,spb,,,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9198,1990046024673051914,spb,,,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9199,825337364347987036,spb,,1.0,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9200,278200446288521716,spb,,,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9201,18337198367331165461,spb,,,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9202,10902541943986054732,spb,,5.0,Столовая,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9203,1462513044413217545,spb,,3.75,Кофейня,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9204,2810756139372103898,spb,,3.0,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9205,2589778610919841760,spb,,4.0,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9206,3419227263648985890,spb,,1.0,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9207,10292158234668405459,spb,,,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9208,13985971779715691806,spb,,5.0,Суши-бар,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9209,8450324825124920025,spb,,3.208333333333333,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9210,1244493069284014276,spb,,5.0,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9211,945216548029231288,spb,,,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9212,12850612475402311265,spb,,3.333333333333333,Кофейня,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9213,17805033930464377208,spb,,,Кофейня,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9214,16766303130011236290,spb,,,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9215,13775516285558459148,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9216,14673721233007570752,spb,,,Суши-бар,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9217,9615582212184354671,spb,,,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9218,9357084909429530123,spb,,1.0,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9219,1403993035934804380,spb,,,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9220,16067571874048593810,spb,,2.0,Кальян-бар,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9221,15401439609520774863,spb,,4.0,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9222,5726688981975709417,spb,,3.6666666666666665,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9223,15122325367590704324,spb,,5.0,Кофейня,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9224,1796340006522879155,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9225,5427901904167262627,spb,,4.333333333333333,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9226,4000603090651096599,spb,,2.4,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9227,14736945057826501036,spb,,4.166666666666667,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9228,14184725423362198526,spb,,4.041666666666667,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9229,471049846014447551,spb,,3.9230769230769234,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9230,11402035277159511548,spb,,3.907692307692308,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9231,15053984355610551138,spb,,3.0,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9232,7372493238162773353,spb,,4.5,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9233,812817261014831388,spb,,3.8,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9234,5438357501640529235,spb,,3.6666666666666665,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9235,14339164401048832632,spb,,5.0,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9236,1750447618307794547,spb,,,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9237,14464762065164946896,spb,,,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9238,1060728958645953946,spb,,,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9239,1344063745339693948,spb,,,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9240,17146190168826979925,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9241,16411308080404971060,spb,,1.0,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9242,3067398733005436651,spb,,1.0,Кофейня,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9243,5415682868779075894,spb,,4.2727272727272725,Столовая,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9244,7611644474843553615,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9245,14256129293650902308,spb,,,Кальян-бар,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9246,11584924789670832224,spb,,,Столовая,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9247,3797494064192746747,spb,,4.0,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9248,8431034420044322517,spb,,2.0,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9249,12166708592881544003,spb,,,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9250,13611308326079856712,spb,,1.0,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9251,4197306051462175852,spb,,3.5,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9252,4586039993860509077,spb,,,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9253,689566575985086260,spb,,,Кальян-бар,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9254,11508022365451958257,spb,,5.0,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9255,14091945497022264880,spb,,4.4,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9256,6863607894803014261,spb,,5.0,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9257,880725904192058273,spb,,1.0,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9258,12947419914496559975,spb,,4.0,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9259,16381886480386087224,spb,,3.3125,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9260,15916260589268475765,spb,,4.081081081081081,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9261,13944188269914765685,spb,,5.0,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9262,4389351939862528372,spb,,,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9263,8711579248162281266,spb,,4.678571428571429,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9264,7632545159039495182,spb,,4.833333333333333,Кофейня,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9265,9083813637522902634,spb,,2.333333333333333,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9266,1688264395112822630,spb,,5.0,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9267,16709896649754997798,spb,,,Кальян-бар,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9268,12472611134904978908,spb,,,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9269,4024806815527431604,spb,,,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9270,8346116078430280606,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9271,13247545514484873519,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9272,13665481763361314907,spb,,,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9273,16732972336075057669,spb,,,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9274,15107587188158793700,spb,,5.0,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9275,2107891171464196950,spb,,4.0,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9276,5173520687244226968,spb,,5.0,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9277,4900958164819416579,spb,,4.9,Кальян-бар,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9278,10824164857112337715,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9279,6934986075556968627,spb,,4.2,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9280,13915455364101447113,spb,,4.833333333333333,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9281,5469661562071982105,spb,,3.0,Кофейня,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9282,7956249894958845650,spb,,5.0,Столовая,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9283,14960076716943308030,spb,,,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9284,2096011939271754986,spb,,4.6,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9285,13161766421579615078,spb,,1.0,Столовая,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9286,12316433401679816281,spb,,4.2,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9287,14291897556966190053,spb,,4.333333333333333,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9288,7276737236039909845,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9289,2802881227850170452,spb,,,Кофейня,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9290,2782955110028672515,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9291,14162542741158435995,spb,,1.5,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9292,8781572050478291678,spb,,4.6,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9293,3358054467139284392,spb,,,Столовая,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9294,3629069190420025872,spb,,,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9295,11997583225950451939,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9296,11699812563017395352,spb,,,Столовая,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9297,13841963908613822326,spb,,,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9298,1614312046525200369,spb,,4.2,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9299,14921242997345932859,spb,,,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9300,8314833797954948235,spb,,,Кофейня,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9301,124856948138728732,spb,,3.0,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9302,12004249314283894464,spb,,4.780487804878049,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9303,8834964167766837109,spb,,4.777777777777779,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9304,1167434541045131560,spb,,5.0,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9305,14696058288827753924,spb,,5.0,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9306,12375061603824472280,spb,,4.928571428571429,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9307,8655652292452038289,spb,,,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9308,6964647579724223241,spb,,1.5,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9309,796263618431916858,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9310,11891070528178798716,spb,,4.5,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9311,17463242830826663462,spb,,4.416666666666667,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9312,17520898823150515558,spb,,,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9313,13236600190501261118,spb,,1.0,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9314,2240687205594254061,spb,,4.25,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9315,10725505466880444967,spb,,4.0,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9316,1280345314033940053,spb,,1.0,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9317,16433767816552978593,spb,,4.285714285714286,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9318,897145015681139157,spb,,4.0,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9319,3114152329227015902,spb,,,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9320,8160981154503878793,spb,,4.75,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9321,8011900640744953886,spb,,3.75,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9322,7642871205639408665,spb,,4.5,Кофейня,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9323,1986821831075248847,spb,,4.5,Кофейня,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9324,8410948845459979908,spb,,,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9325,12201128576030490928,spb,,2.5,"Булочная, пекарня",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9326,97974521117257723,spb,,4.0,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9327,1412376135609760976,spb,,,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9328,16134866499740568742,spb,,3.333333333333333,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9329,7922104744854435797,spb,,3.0,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9330,10526409251395057202,spb,,3.6666666666666665,Кафе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9331,7256601912158526048,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9332,229018084368306633,spb,,,Ресторан,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9333,5832461174869536492,spb,,4.5,Кондитерская,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9334,5909158813150485742,spb,,3.761904761904762,"Бар, паб",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9335,9479758212305762181,spb,,5.0,Быстрое питание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
